DATE,Ealf,Eauxf,Name,Occupancy,Qcs,Qcsf,Qhs,Qhsf,Qww,Qwwf,mcpcs,mcphs,totwater,trc,trh,trww,tsc,tsh,tsww
2010-08-05 11:00:00,2.31,0.00,Bau 19,10.00,-0.00,-0.00,0.00,0.00,0.91,1.86,0,0,0.05,0,0,14.00,0,0,60
2010-08-05 12:00:00,1.16,0.00,Bau 19,5.00,-0.00,-0.00,0.00,0.00,0.46,1.01,0,0,0.03,0,0,14.00,0,0,60
2010-08-05 13:00:00,2.31,0.00,Bau 19,7.00,-0.00,-0.00,0.00,0.00,0.69,1.42,0,0,0.04,0,0,14.00,0,0,60
2010-08-05 14:00:00,4.63,0.00,Bau 19,10.00,-0.00,-0.00,0.00,0.00,0.91,1.85,0,0,0.05,0,0,14.00,0,0,60
2010-08-05 15:00:00,4.63,0.00,Bau 19,10.00,-0.00,-0.00,0.00,0.00,0.91,1.85,0,0,0.05,0,0,14.00,0,0,60
2010-08-05 16:00:00,1.16,0.00,Bau 19,5.00,-0.00,-0.00,0.00,0.00,0.46,1.01,0,0,0.03,0,0,14.00,0,0,60
2010-08-05 17:00:00,0.60,0.00,Bau 19,2.00,-0.00,-0.00,0.00,0.00,0.23,0.68,0,0,0.01,0,0,14.00,0,0,60
2010-08-05 18:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-05 19:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-05 20:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-05 21:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-05 22:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-05 23:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-06 00:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-06 01:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-06 02:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-06 03:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-06 04:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-06 05:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-06 06:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-06 07:00:00,1.16,0.00,Bau 19,2.00,-0.00,-0.00,0.00,0.00,0.23,0.70,0,0,0.01,0,0,14.00,0,0,60
2010-08-06 08:00:00,2.31,0.00,Bau 19,5.00,-0.00,-0.00,0.00,0.00,0.46,1.03,0,0,0.03,0,0,14.00,0,0,60
2010-08-06 09:00:00,4.63,0.00,Bau 19,7.00,-0.00,-0.00,0.00,0.00,0.69,1.44,0,0,0.04,0,0,14.00,0,0,60
2010-08-06 10:00:00,4.63,0.00,Bau 19,10.00,-0.00,-0.00,0.00,0.00,0.91,1.86,0,0,0.05,0,0,14.00,0,0,60
2010-08-06 11:00:00,2.31,0.00,Bau 19,10.00,-0.00,-0.00,0.00,0.00,0.91,1.86,0,0,0.05,0,0,14.00,0,0,60
2010-08-06 12:00:00,1.16,0.00,Bau 19,5.00,-0.00,-0.00,0.00,0.00,0.46,1.01,0,0,0.03,0,0,14.00,0,0,60
2010-08-06 13:00:00,2.31,0.00,Bau 19,7.00,-0.00,-0.00,0.00,0.00,0.69,1.42,0,0,0.04,0,0,14.00,0,0,60
2010-08-06 14:00:00,4.63,0.00,Bau 19,10.00,-0.00,-0.00,0.00,0.00,0.91,1.84,0,0,0.05,0,0,14.00,0,0,60
2010-08-06 15:00:00,4.63,0.00,Bau 19,10.00,-0.00,-0.00,0.00,0.00,0.91,1.84,0,0,0.05,0,0,14.00,0,0,60
2010-08-06 16:00:00,1.16,0.00,Bau 19,5.00,-0.00,-0.00,0.00,0.00,0.46,1.01,0,0,0.03,0,0,14.00,0,0,60
2010-08-06 17:00:00,0.60,0.00,Bau 19,2.00,-0.00,-0.00,0.00,0.00,0.23,0.68,0,0,0.01,0,0,14.00,0,0,60
2010-08-06 18:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-06 19:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-06 20:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-06 21:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-06 22:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-06 23:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 00:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 01:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 02:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 03:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 04:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 05:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 06:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 07:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 08:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 09:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 10:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 11:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 12:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 13:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 14:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 15:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 16:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 17:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 18:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 19:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 20:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 21:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 22:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-07 23:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 00:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 01:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 02:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 03:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 04:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 05:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 06:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 07:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 08:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 09:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 10:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 11:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 12:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 13:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 14:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 15:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 16:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 17:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 18:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 19:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 20:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 21:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 22:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-08 23:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-09 00:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-09 01:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-09 02:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-09 03:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-09 04:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-09 05:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-09 06:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-09 07:00:00,1.16,0.00,Bau 19,2.00,-0.00,-0.00,0.00,0.00,0.23,0.70,0,0,0.01,0,0,14.00,0,0,60
2010-08-09 08:00:00,2.31,0.00,Bau 19,5.00,-0.00,-0.00,0.00,0.00,0.46,1.03,0,0,0.03,0,0,14.00,0,0,60
2010-08-09 09:00:00,4.63,0.00,Bau 19,7.00,-0.00,-0.00,0.00,0.00,0.69,1.44,0,0,0.04,0,0,14.00,0,0,60
2010-08-09 10:00:00,4.63,0.00,Bau 19,10.00,-0.00,-0.00,0.00,0.00,0.91,1.87,0,0,0.05,0,0,14.00,0,0,60
2010-08-09 11:00:00,2.31,0.00,Bau 19,10.00,-0.00,-0.00,0.00,0.00,0.91,1.86,0,0,0.05,0,0,14.00,0,0,60
2010-08-09 12:00:00,1.16,0.00,Bau 19,5.00,-0.00,-0.00,0.00,0.00,0.46,1.01,0,0,0.03,0,0,14.00,0,0,60
2010-08-09 13:00:00,2.31,0.00,Bau 19,7.00,-0.00,-0.00,0.00,0.00,0.69,1.42,0,0,0.04,0,0,14.00,0,0,60
2010-08-09 14:00:00,4.63,0.00,Bau 19,10.00,-0.00,-0.00,0.00,0.00,0.91,1.85,0,0,0.05,0,0,14.00,0,0,60
2010-08-09 15:00:00,4.63,0.00,Bau 19,10.00,-0.00,-0.00,0.00,0.00,0.91,1.85,0,0,0.05,0,0,14.00,0,0,60
2010-08-09 16:00:00,1.16,0.00,Bau 19,5.00,-0.00,-0.00,0.00,0.00,0.46,1.01,0,0,0.03,0,0,14.00,0,0,60
2010-08-09 17:00:00,0.60,0.00,Bau 19,2.00,-0.00,-0.00,0.00,0.00,0.23,0.68,0,0,0.01,0,0,14.00,0,0,60
2010-08-09 18:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-09 19:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-09 20:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-09 21:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-09 22:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-09 23:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-10 00:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-10 01:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-10 02:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-10 03:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-10 04:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-10 05:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-10 06:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-10 07:00:00,1.16,0.00,Bau 19,2.00,-0.00,-0.00,0.00,0.00,0.23,0.70,0,0,0.01,0,0,14.00,0,0,60
2010-08-10 08:00:00,2.31,0.00,Bau 19,5.00,-0.00,-0.00,0.00,0.00,0.46,1.03,0,0,0.03,0,0,14.00,0,0,60
2010-08-10 09:00:00,4.63,0.00,Bau 19,7.00,-0.00,-0.00,0.00,0.00,0.69,1.43,0,0,0.04,0,0,14.00,0,0,60
2010-08-10 10:00:00,4.63,0.00,Bau 19,10.00,-0.00,-0.00,0.00,0.00,0.91,1.85,0,0,0.05,0,0,14.00,0,0,60
2010-08-10 11:00:00,2.31,0.00,Bau 19,10.00,-0.00,-0.00,0.00,0.00,0.91,1.84,0,0,0.05,0,0,14.00,0,0,60
2010-08-10 12:00:00,1.16,0.00,Bau 19,5.00,-0.00,-0.00,0.00,0.00,0.46,1.00,0,0,0.03,0,0,14.00,0,0,60
2010-08-10 13:00:00,2.31,0.00,Bau 19,7.00,-0.00,-0.00,0.00,0.00,0.69,1.40,0,0,0.04,0,0,14.00,0,0,60
2010-08-10 14:00:00,4.63,0.00,Bau 19,10.00,-0.00,-0.00,0.00,0.00,0.91,1.83,0,0,0.05,0,0,14.00,0,0,60
2010-08-10 15:00:00,4.63,0.00,Bau 19,10.00,-0.00,-0.00,0.00,0.00,0.91,1.82,0,0,0.05,0,0,14.00,0,0,60
2010-08-10 16:00:00,1.16,0.00,Bau 19,5.00,-0.00,-0.00,0.00,0.00,0.46,1.00,0,0,0.03,0,0,14.00,0,0,60
2010-08-10 17:00:00,0.60,0.00,Bau 19,2.00,-0.00,-0.00,0.00,0.00,0.23,0.67,0,0,0.01,0,0,14.00,0,0,60
2010-08-10 18:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-10 19:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-10 20:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-10 21:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-10 22:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-10 23:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-11 00:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-11 01:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-11 02:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-11 03:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-11 04:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-11 05:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-11 06:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-11 07:00:00,1.16,0.00,Bau 19,2.00,-0.00,-0.00,0.00,0.00,0.23,0.69,0,0,0.01,0,0,14.00,0,0,60
2010-08-11 08:00:00,2.31,0.00,Bau 19,5.00,-0.00,-0.00,0.00,0.00,0.46,1.02,0,0,0.03,0,0,14.00,0,0,60
2010-08-11 09:00:00,4.63,0.00,Bau 19,7.00,-0.00,-0.00,0.00,0.00,0.69,1.42,0,0,0.04,0,0,14.00,0,0,60
2010-08-11 10:00:00,4.63,0.00,Bau 19,10.00,-0.00,-0.00,0.00,0.00,0.91,1.84,0,0,0.05,0,0,14.00,0,0,60
2010-08-11 11:00:00,2.31,0.00,Bau 19,10.00,-0.00,-0.00,0.00,0.00,0.91,1.84,0,0,0.05,0,0,14.00,0,0,60
2010-08-11 12:00:00,1.16,0.00,Bau 19,5.00,-0.00,-0.00,0.00,0.00,0.46,1.00,0,0,0.03,0,0,14.00,0,0,60
2010-08-11 13:00:00,2.31,0.00,Bau 19,7.00,-0.00,-0.00,0.00,0.00,0.69,1.41,0,0,0.04,0,0,14.00,0,0,60
2010-08-11 14:00:00,4.63,0.43,Bau 19,10.00,-0.00,1.72,0.00,0.00,0.91,1.84,0,0,0.05,12,0,14.00,7,0,60
2010-08-11 15:00:00,4.63,0.43,Bau 19,10.00,-0.00,2.39,0.00,0.00,0.91,1.84,0,0,0.05,12,0,14.00,7,0,60
2010-08-11 16:00:00,1.16,0.21,Bau 19,5.00,-0.00,1.51,0.00,0.00,0.46,1.00,0,0,0.03,12,0,14.00,7,0,60
2010-08-11 17:00:00,0.60,0.09,Bau 19,2.00,-0.00,1.26,0.00,0.00,0.23,0.67,0,0,0.01,12,0,14.00,7,0,60
2010-08-11 18:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-11 19:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-11 20:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-11 21:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-11 22:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-11 23:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-12 00:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-12 01:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-12 02:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-12 03:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-12 04:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-12 05:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-12 06:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
2010-08-12 07:00:00,1.16,0.00,Bau 19,2.00,-0.00,-0.00,0.00,0.00,0.23,0.68,0,0,0.01,0,0,14.00,0,0,60
2010-08-12 08:00:00,2.31,0.00,Bau 19,5.00,-0.00,-0.00,0.00,0.00,0.46,1.02,0,0,0.03,0,0,14.00,0,0,60
2010-08-12 09:00:00,4.63,0.00,Bau 19,7.00,-0.00,-0.00,0.00,0.00,0.69,1.42,0,0,0.04,0,0,14.00,0,0,60
2010-08-12 10:00:00,4.63,0.00,Bau 19,10.00,-0.00,-0.00,0.00,0.00,0.91,1.85,0,0,0.05,0,0,14.00,0,0,60
2010-08-12 11:00:00,2.31,0.43,Bau 19,10.00,-0.00,0.76,0.00,0.00,0.91,1.84,0,0,0.05,12,0,14.00,7,0,60
2010-08-12 12:00:00,1.16,0.21,Bau 19,5.00,-0.00,1.16,0.00,0.00,0.46,1.00,0,0,0.03,12,0,14.00,7,0,60
2010-08-12 13:00:00,2.31,0.30,Bau 19,7.00,-0.00,2.76,0.00,0.00,0.69,1.41,0,0,0.04,12,0,14.00,7,0,60
2010-08-12 14:00:00,4.63,0.43,Bau 19,10.00,1.34,4.58,0.00,0.00,0.91,1.84,0,0,0.05,12,0,14.00,7,0,60
2010-08-12 15:00:00,4.63,0.43,Bau 19,10.00,2.06,5.26,0.00,0.00,0.91,1.84,1,0,0.05,12,0,14.00,7,0,60
2010-08-12 16:00:00,1.16,0.22,Bau 19,5.00,0.97,4.17,0.00,0.00,0.46,1.00,0,0,0.03,12,0,14.00,7,0,60
2010-08-12 17:00:00,0.60,0.09,Bau 19,2.00,0.52,3.70,0.00,0.00,0.23,0.67,0,0,0.01,12,0,14.00,7,0,60
2010-08-12 18:00:00,0.60,0.00,Bau 19,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,14.00,0,0,60
